region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
auburn,2500,NA manufacturer,good,6 cylinders,gas,47000.0,clean,manual,rwd,pickup,brown,al,56.0
birmingham,33990,kia,,6 cylinders,gas,48784.0,clean,automatic,fwd,SUV,black,al,28.0
birmingham,2500,bmw,fair,6 cylinders,gas,110661.0,clean,automatic,rwd,sedan,white,al,27.0
birmingham,5500,ford,good,8 cylinders,gas,239000.0,clean,automatic,,truck,green,al,44.0
birmingham,5500,mercedes-benz,good,4 cylinders,gas,9999.0,clean,automatic,rwd,convertible,yellow,al,48.0
birmingham,3500,chevrolet,excellent,8 cylinders,gas,237000.0,clean,automatic,4wd,offroad,black,al,26.0
birmingham,2500,NA manufacturer,fair,4 cylinders,gas,125000.0,clean,manual,fwd,coupe,silver,al,35.0
birmingham,19950,chevrolet,good,8 cylinders,gas,96867.0,clean,automatic,rwd,sedan,green,al,67.0
birmingham,2675,toyota,,4 cylinders,gas,164719.0,clean,automatic,fwd,sedan,green,al,26.0
birmingham,12895,chevrolet,,8 cylinders,gas,43725.0,clean,automatic,rwd,hatchback,,al,31.0
birmingham,2300,buick,,6 cylinders,gas,201566.0,clean,automatic,fwd,sedan,green,al,25.0
birmingham,4000,mercedes-benz,fair,6 cylinders,gas,88100.0,clean,automatic,rwd,coupe,silver,al,50.0
birmingham,35495,NA manufacturer,,4 cylinders,gas,14000.0,clean,automatic,rwd,sedan,white,al,28.0
birmingham,3500,ford,fair,8 cylinders,diesel,190000.0,clean,manual,rwd,truck,white,al,28.0
birmingham,1250,ford,fair,6 cylinders,gas,90000.0,clean,manual,4wd,SUV,black,al,34.0
birmingham,9500,pontiac,,,gas,175000.0,clean,automatic,,convertible,red,al,54.0
birmingham,3500,honda,good,4 cylinders,gas,215000.0,clean,manual,fwd,convertible,red,al,27.0
birmingham,2675,toyota,,4 cylinders,gas,164719.0,clean,automatic,fwd,sedan,green,al,26.0
birmingham,32995,jaguar,,4 cylinders,gas,22105.0,clean,automatic,rwd,sedan,white,al,27.0
birmingham,3250,lincoln,good,8 cylinders,gas,142000.0,clean,other,rwd,sedan,,al,25.0
birmingham,3450,honda,,4 cylinders,gas,172295.0,clean,automatic,fwd,sedan,black,al,25.0
birmingham,8700,lincoln,excellent,8 cylinders,gas,22964.0,clean,automatic,rwd,sedan,grey,al,43.0
birmingham,6200,gmc,fair,8 cylinders,gas,51000.0,clean,manual,4wd,truck,white,al,38.0
birmingham,29890,NA manufacturer,,6 cylinders,gas,30934.0,clean,automatic,fwd,SUV,white,al,28.0
birmingham,2300,buick,,6 cylinders,gas,201566.0,clean,automatic,fwd,sedan,green,al,25.0
birmingham,26495,nissan,,4 cylinders,gas,42455.0,clean,automatic,,sedan,white,al,27.0
birmingham,29875,NA manufacturer,,4 cylinders,gas,46947.0,clean,automatic,fwd,sedan,white,al,26.0
birmingham,3730,NA manufacturer,fair,4 cylinders,gas,125000.0,clean,manual,fwd,coupe,silver,al,35.0
birmingham,49895,NA manufacturer,,4 cylinders,gas,26985.0,clean,automatic,,SUV,white,al,29.0
birmingham,10000,ford,good,8 cylinders,gas,76572.0,clean,automatic,rwd,pickup,white,al,28.0
birmingham,17875,chevrolet,,8 cylinders,gas,85970.0,clean,automatic,,convertible,green,al,27.0
birmingham,9995,ford,,,gas,46789.0,clean,automatic,rwd,pickup,red,al,36.0
birmingham,3995,dodge,,,gas,101958.0,clean,automatic,rwd,pickup,grey,al,33.0
birmingham,26900,nissan,good,4 cylinders,gas,59384.0,clean,manual,rwd,coupe,black,al,28.0
birmingham,12500,NA manufacturer,fair,6 cylinders,gas,123.0,missing,manual,,pickup,,al,76.0
birmingham,0,toyota,excellent,4 cylinders,diesel,160000.0,clean,automatic,4wd,SUV,black,al,30.0
birmingham,5500,mercedes-benz,fair,,diesel,177607.0,clean,manual,,convertible,white,al,34.0
birmingham,2300,buick,,6 cylinders,gas,201566.0,clean,automatic,fwd,sedan,green,al,25.0
birmingham,35495,NA manufacturer,,4 cylinders,gas,14000.0,clean,automatic,rwd,sedan,white,al,28.0
