region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
auburn,6800,NA manufacturer,excellent,6 cylinders,diesel,180000.0,clean,automatic,rwd,bus,yellow,al,17.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,6800,NA manufacturer,excellent,6 cylinders,diesel,180000.0,clean,automatic,rwd,bus,yellow,al,17.0
birmingham,5500,NA manufacturer,excellent,6 cylinders,diesel,220000.0,clean,automatic,rwd,bus,yellow,al,23.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,39990,NA manufacturer,good,6 cylinders,diesel,65368.0,clean,automatic,rwd,bus,white,al,6.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,500,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,1000,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,1000,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,1000,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,1000,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,1000,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
birmingham,1000,NA manufacturer,fair,other,other,1400.0,clean,other,,bus,green,al,1.0
montgomery,5500,NA manufacturer,excellent,6 cylinders,diesel,220000.0,clean,automatic,rwd,bus,yellow,al,23.0
montgomery,6800,NA manufacturer,excellent,6 cylinders,diesel,180000.0,clean,automatic,rwd,bus,yellow,al,17.0
montgomery,22950,ford,excellent,10 cylinders,gas,64351.0,clean,automatic,rwd,bus,,al,11.0
mohave county,26000,ford,excellent,10 cylinders,other,150371.0,clean,automatic,rwd,bus,white,az,7.0
mohave county,26000,ford,excellent,10 cylinders,other,150371.0,clean,automatic,rwd,bus,white,az,7.0
mohave county,26000,ford,excellent,10 cylinders,other,150371.0,clean,automatic,rwd,bus,white,az,7.0
phoenix,1800,gmc,fair,8 cylinders,gas,200000.0,clean,automatic,4wd,bus,grey,az,18.0
fort smith,23000,ford,,,gas,62000.0,clean,automatic,,bus,grey,ar,20.0
little rock,6950,ford,good,10 cylinders,gas,115000.0,clean,automatic,rwd,bus,white,ar,15.0
little rock,22950,ford,excellent,10 cylinders,gas,64351.0,clean,automatic,rwd,bus,,ar,11.0
bakersfield,14995,chevrolet,good,8 cylinders,gas,90921.0,clean,automatic,rwd,bus,white,ca,13.0
bakersfield,16995,chevrolet,good,8 cylinders,gas,90921.0,clean,automatic,rwd,bus,white,ca,13.0
gold country,7900,NA manufacturer,good,6 cylinders,diesel,73240.0,clean,automatic,rwd,bus,yellow,ca,17.0
gold country,8900,chevrolet,excellent,8 cylinders,gas,144475.0,clean,automatic,rwd,bus,white,ca,13.0
gold country,10900,ford,like new,10 cylinders,other,168672.0,clean,automatic,rwd,bus,white,ca,7.0
inland empire,15000,ford,excellent,10 cylinders,gas,195000.0,clean,automatic,rwd,bus,white,ca,9.0
inland empire,10000,ford,good,,gas,112796.0,clean,automatic,,bus,white,ca,17.0
los angeles,79000,NA manufacturer,excellent,6 cylinders,diesel,20000.0,clean,automatic,fwd,bus,green,ca,14.0
modesto,18495,bmw,excellent,6 cylinders,gas,92189.0,clean,automatic,rwd,bus,blue,ca,10.0
modesto,18495,bmw,excellent,6 cylinders,gas,92189.0,clean,automatic,rwd,bus,blue,ca,10.0
orange county,23500,ford,like new,8 cylinders,other,36000.0,clean,automatic,rwd,bus,black,ca,11.0
orange county,19500,ford,excellent,8 cylinders,diesel,149000.0,clean,automatic,fwd,bus,white,ca,22.0
orange county,25000,NA manufacturer,like new,8 cylinders,diesel,101476.0,clean,automatic,rwd,bus,white,ca,11.0
orange county,45000,NA manufacturer,excellent,6 cylinders,diesel,180000.0,clean,automatic,,bus,orange,ca,13.0
redding,7500,NA manufacturer,good,8 cylinders,diesel,153000.0,clean,automatic,rwd,bus,yellow,ca,16.0
sacramento,22000,chevrolet,good,8 cylinders,gas,129000.0,clean,automatic,,bus,black,ca,20.0
santa barbara,12995,NA manufacturer,good,other,electric,10697.0,clean,automatic,rwd,bus,,ca,7.0
SF bay area,8000,NA manufacturer,good,8 cylinders,diesel,670000.0,clean,automatic,rwd,bus,white,ca,22.0
SF bay area,14999,ford,excellent,8 cylinders,gas,220000.0,clean,automatic,rwd,bus,white,ca,8.0
SF bay area,4200,ford,good,8 cylinders,gas,333333.0,clean,automatic,rwd,bus,white,ca,13.0
SF bay area,33000,chevrolet,excellent,,gas,16185.0,clean,automatic,,bus,white,ca,15.0
stockton,10900,ford,excellent,10 cylinders,other,168673.0,clean,automatic,rwd,bus,white,ca,7.0
ventura county,14995,chevrolet,good,8 cylinders,gas,90921.0,clean,automatic,rwd,bus,white,ca,13.0
ventura county,16995,chevrolet,good,8 cylinders,gas,90921.0,clean,automatic,rwd,bus,white,ca,13.0
boulder,4500,NA manufacturer,like new,,diesel,40000.0,clean,automatic,,bus,white,co,17.0
boulder,7950,ford,excellent,4 cylinders,gas,183000.0,clean,automatic,rwd,bus,white,co,8.0
colorado springs,6200,NA manufacturer,excellent,,diesel,200.0,clean,automatic,rwd,bus,,co,17.0
colorado springs,22950,ford,excellent,10 cylinders,gas,64351.0,clean,automatic,rwd,bus,,co,11.0
denver,12900,ford,,,gas,187094.0,clean,other,,bus,white,co,8.0
denver,12000,ford,good,10 cylinders,gas,135000.0,clean,automatic,rwd,bus,green,co,11.0
denver,26987,chevrolet,excellent,8 cylinders,diesel,64985.0,clean,automatic,rwd,bus,white,co,11.0
denver,19900,volkswagen,good,6 cylinders,gas,202000.0,clean,automatic,fwd,bus,silver,co,19.0
high rockies,10255,ford,good,8 cylinders,diesel,58579.0,clean,automatic,rwd,bus,white,co,24.0
western slope,28000,volkswagen,excellent,6 cylinders,gas,179000.0,clean,automatic,fwd,bus,white,co,22.0
