region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
birmingham,12950,bmw,excellent,6 cylinders,gas,69586.0,clean,automatic,rwd,convertible,white,al,17.0
birmingham,12950,mazda,excellent,4 cylinders,gas,90610.0,clean,automatic,rwd,convertible,black,al,15.0
birmingham,13950,mazda,excellent,4 cylinders,gas,138235.0,clean,automatic,rwd,convertible,red,al,11.0
birmingham,19950,porsche,excellent,6 cylinders,gas,80190.0,clean,automatic,rwd,convertible,red,al,13.0
birmingham,13950,mazda,excellent,4 cylinders,gas,86650.0,clean,manual,rwd,convertible,grey,al,14.0
birmingham,21250,ford,new,8 cylinders,gas,15996.0,clean,automatic,fwd,convertible,yellow,al,20.0
birmingham,6800,mercedes-benz,good,6 cylinders,gas,116700.0,clean,automatic,rwd,convertible,silver,al,18.0
birmingham,9000,mazda,excellent,4 cylinders,gas,56700.0,clean,automatic,rwd,convertible,white,al,14.0
birmingham,98900,ferrari,good,8 cylinders,gas,20187.0,clean,automatic,rwd,convertible,red,al,21.0
birmingham,39995,dodge,,,gas,15897.0,clean,manual,rwd,convertible,silver,al,23.0
birmingham,23500,lexus,excellent,8 cylinders,gas,73500.0,clean,automatic,rwd,convertible,red,al,14.0
birmingham,12500,NA manufacturer,good,8 cylinders,gas,87000.0,clean,automatic,rwd,convertible,blue,al,20.0
birmingham,21500,jeep,excellent,6 cylinders,gas,78270.0,clean,manual,4wd,convertible,,al,9.0
birmingham,13950,mazda,excellent,4 cylinders,gas,86650.0,clean,manual,rwd,convertible,grey,al,14.0
birmingham,3800,chrysler,good,4 cylinders,gas,135034.0,clean,automatic,fwd,convertible,silver,al,17.0
birmingham,19950,porsche,excellent,6 cylinders,gas,80190.0,clean,automatic,rwd,convertible,red,al,13.0
birmingham,13950,mazda,excellent,4 cylinders,gas,138235.0,clean,automatic,rwd,convertible,red,al,11.0
birmingham,12950,mazda,excellent,4 cylinders,gas,90610.0,clean,automatic,rwd,convertible,black,al,15.0
birmingham,10950,mazda,,4 cylinders,gas,57323.0,clean,automatic,rwd,convertible,blue,al,15.0
birmingham,26875,chevrolet,,4 cylinders,gas,8902.0,clean,automatic,,convertible,silver,al,23.0
birmingham,69850,chevrolet,,other,gas,2813.0,clean,automatic,rwd,convertible,blue,al,5.0
birmingham,21900,chevrolet,good,8 cylinders,gas,93096.0,clean,automatic,rwd,convertible,blue,al,11.0
birmingham,12950,bmw,excellent,6 cylinders,gas,69586.0,clean,automatic,rwd,convertible,white,al,17.0
birmingham,1,NA manufacturer,good,8 cylinders,gas,1000.0,salvage,automatic,rwd,convertible,black,al,23.0
birmingham,45000,chevrolet,like new,8 cylinders,gas,18000.0,clean,manual,rwd,convertible,black,al,15.0
birmingham,21250,ford,new,8 cylinders,gas,15996.0,clean,automatic,fwd,convertible,yellow,al,20.0
birmingham,21250,ford,new,8 cylinders,gas,15996.0,clean,automatic,fwd,convertible,yellow,al,20.0
dothan,6900,volkswagen,excellent,5 cylinders,gas,89000.0,clean,automatic,fwd,convertible,silver,al,13.0
dothan,19900,maserati,excellent,8 cylinders,gas,42000.0,clean,other,rwd,convertible,red,al,20.0
florence / muscle shoals,21250,ford,like new,8 cylinders,gas,15962.0,clean,automatic,fwd,convertible,yellow,al,20.0
florence / muscle shoals,21250,ford,like new,8 cylinders,gas,15962.0,clean,automatic,fwd,convertible,yellow,al,20.0
gadsden-anniston,0,chevrolet,excellent,6 cylinders,gas,47971.0,clean,automatic,rwd,convertible,white,al,3.0
gadsden-anniston,25590,ford,good,6 cylinders,gas,11325.0,clean,other,rwd,convertible,red,al,5.0
huntsville / decatur,21250,ford,like new,8 cylinders,gas,15962.0,clean,automatic,fwd,convertible,yellow,al,20.0
huntsville / decatur,6900,pontiac,like new,4 cylinders,gas,106000.0,clean,manual,,convertible,blue,al,16.0
huntsville / decatur,24989,cadillac,,8 cylinders,gas,71637.0,clean,automatic,rwd,convertible,white,al,14.0
huntsville / decatur,18900,fiat,excellent,4 cylinders,gas,16200.0,clean,manual,rwd,convertible,white,al,5.0
huntsville / decatur,11989,bmw,,6 cylinders,gas,90935.0,clean,automatic,rwd,convertible,black,al,14.0
huntsville / decatur,9000,mazda,excellent,4 cylinders,gas,70000.0,clean,manual,rwd,convertible,silver,al,16.0
huntsville / decatur,15000,ford,excellent,8 cylinders,gas,131000.0,clean,automatic,,convertible,silver,al,18.0
huntsville / decatur,30000,chevrolet,excellent,8 cylinders,gas,18000.0,clean,manual,,convertible,orange,al,11.0
huntsville / decatur,18900,volkswagen,excellent,4 cylinders,gas,23988.0,clean,automatic,fwd,convertible,silver,al,7.0
huntsville / decatur,21990,mazda,good,,other,41251.0,clean,other,rwd,convertible,white,al,6.0
huntsville / decatur,15493,ford,,8 cylinders,gas,136145.0,clean,other,rwd,convertible,white,al,12.0
huntsville / decatur,11989,bmw,,6 cylinders,gas,90935.0,clean,automatic,rwd,convertible,black,al,14.0
mobile,25995,ford,,4 cylinders,gas,40156.0,clean,automatic,rwd,convertible,white,al,4.0
mobile,11998,ford,,6 cylinders,gas,88880.0,clean,automatic,rwd,convertible,white,al,10.0
mobile,8000,mercedes-benz,excellent,8 cylinders,gas,119000.0,clean,automatic,fwd,convertible,custom,al,17.0
mobile,8950,audi,like new,6 cylinders,gas,70000.0,clean,automatic,rwd,convertible,silver,al,17.0
mobile,6900,volkswagen,excellent,5 cylinders,gas,89000.0,clean,automatic,fwd,convertible,silver,al,13.0
mobile,19900,maserati,excellent,8 cylinders,gas,42000.0,clean,other,rwd,convertible,red,al,20.0
mobile,25995,ford,,4 cylinders,gas,40156.0,clean,automatic,rwd,convertible,white,al,4.0
mobile,20788,chevrolet,,8 cylinders,gas,81980.0,clean,manual,rwd,convertible,black,al,16.0
mobile,3000,ford,good,8 cylinders,gas,119000.0,clean,automatic,rwd,convertible,green,al,24.0
mobile,5500,saturn,good,4 cylinders,gas,128000.0,clean,automatic,rwd,convertible,grey,al,16.0
mobile,1200,NA manufacturer,good,4 cylinders,gas,202000.0,clean,manual,fwd,convertible,red,al,14.0
montgomery,25590,ford,good,6 cylinders,gas,11325.0,clean,other,rwd,convertible,red,al,5.0
montgomery,33590,mercedes-benz,good,6 cylinders,gas,23623.0,clean,other,rwd,convertible,white,al,7.0
montgomery,20590,volkswagen,good,4 cylinders,gas,43470.0,clean,automatic,fwd,convertible,black,al,7.0
montgomery,19990,volkswagen,good,4 cylinders,gas,24294.0,clean,automatic,fwd,convertible,blue,al,9.0
tuscaloosa,25590,ford,good,6 cylinders,gas,11325.0,clean,other,rwd,convertible,red,al,5.0
anchorage / mat-su,17950,ford,like new,6 cylinders,gas,25865.0,clean,automatic,rwd,convertible,red,ak,8.0
anchorage / mat-su,7000,volkswagen,excellent,5 cylinders,gas,120080.0,clean,automatic,fwd,convertible,blue,ak,16.0
