region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
auburn,37990,chevrolet,good,8 cylinders,gas,9704.0,clean,other,rwd,coupe,red,al,6.0
auburn,26590,honda,good,,gas,9954.0,clean,other,fwd,coupe,silver,al,2.0
auburn,14590,bmw,good,,other,80465.0,clean,other,,coupe,black,al,10.0
auburn,8990,NA manufacturer,good,4 cylinders,gas,59072.0,clean,automatic,rwd,coupe,silver,al,9.0
birmingham,4500,ford,,6 cylinders,gas,187016.0,clean,automatic,rwd,coupe,red,al,14.0
birmingham,27998,porsche,,6 cylinders,gas,69505.0,clean,automatic,rwd,coupe,black,al,14.0
birmingham,16990,kia,good,6 cylinders,gas,17631.0,clean,other,fwd,coupe,,al,6.0
birmingham,3299,chevrolet,,4 cylinders,gas,176354.0,clean,automatic,fwd,coupe,,al,19.0
birmingham,39590,ford,good,8 cylinders,gas,1419.0,clean,other,rwd,coupe,white,al,2.0
birmingham,10980,ford,,6 cylinders,gas,159559.0,,manual,rwd,coupe,silver,al,10.0
birmingham,39990,nissan,good,6 cylinders,gas,8373.0,clean,other,rwd,coupe,white,al,3.0
birmingham,35990,dodge,good,4 cylinders,other,18955.0,clean,other,rwd,coupe,black,al,6.0
birmingham,99950,chevrolet,,,gas,510.0,clean,automatic,rwd,coupe,orange,al,1.0
birmingham,4350,NA manufacturer,good,3 cylinders,gas,69974.0,clean,automatic,,coupe,white,al,7.0
birmingham,39590,chevrolet,good,8 cylinders,gas,10496.0,clean,other,rwd,coupe,white,al,5.0
birmingham,0,dodge,like new,8 cylinders,gas,39000.0,clean,automatic,rwd,coupe,green,al,5.0
birmingham,3299,chevrolet,,4 cylinders,gas,176354.0,clean,automatic,fwd,coupe,,al,19.0
birmingham,6500,honda,like new,4 cylinders,gas,170000.0,clean,automatic,fwd,coupe,,al,12.0
birmingham,5940,mini,,4 cylinders,gas,149835.0,,manual,fwd,coupe,red,al,13.0
birmingham,33990,ford,good,8 cylinders,gas,23720.0,clean,other,rwd,coupe,blue,al,4.0
birmingham,26590,honda,good,,gas,9954.0,clean,other,fwd,coupe,silver,al,2.0
birmingham,33990,ford,good,8 cylinders,gas,9788.0,clean,other,rwd,coupe,black,al,5.0
birmingham,19997,dodge,excellent,8 cylinders,gas,83491.0,clean,automatic,rwd,coupe,,al,13.0
birmingham,45990,mercedes-benz,,6 cylinders,gas,38165.0,clean,automatic,,coupe,red,al,24.0
birmingham,6800,nissan,like new,4 cylinders,gas,139000.0,clean,automatic,fwd,coupe,black,al,12.0
birmingham,36590,infiniti,good,8 cylinders,other,18605.0,clean,other,,coupe,blue,al,3.0
birmingham,35590,dodge,good,8 cylinders,gas,16796.0,clean,other,rwd,coupe,green,al,11.0
birmingham,38590,mercedes-benz,good,8 cylinders,gas,39558.0,clean,automatic,rwd,coupe,black,al,8.0
birmingham,46875,chevrolet,,other,gas,29337.0,clean,manual,,coupe,white,al,7.0
birmingham,0,ford,,6 cylinders,gas,,clean,automatic,rwd,coupe,white,al,9.0
birmingham,45990,mercedes-benz,good,,other,29520.0,clean,other,,coupe,black,al,4.0
birmingham,29500,ford,,8 cylinders,gas,36772.0,clean,automatic,rwd,coupe,blue,al,6.0
birmingham,35990,infiniti,good,6 cylinders,gas,8677.0,clean,other,rwd,coupe,black,al,2.0
birmingham,28590,dodge,good,4 cylinders,other,65817.0,clean,other,rwd,coupe,green,al,5.0
birmingham,15897,hyundai,,4 cylinders,gas,30844.0,clean,other,fwd,coupe,red,al,5.0
birmingham,57850,chevrolet,,other,gas,1281.0,clean,automatic,,coupe,,al,6.0
birmingham,14590,bmw,good,,other,80465.0,clean,other,,coupe,black,al,10.0
birmingham,17900,chevrolet,good,8 cylinders,gas,133847.0,clean,manual,rwd,coupe,white,al,11.0
birmingham,8990,NA manufacturer,good,4 cylinders,gas,59072.0,clean,automatic,rwd,coupe,silver,al,9.0
birmingham,31890,lexus,,6 cylinders,gas,73372.0,clean,automatic,rwd,coupe,black,al,5.0
birmingham,130000,chevrolet,like new,8 cylinders,gas,5000.0,clean,automatic,rwd,coupe,blue,al,3.0
birmingham,6000,chevrolet,fair,,gas,80000.0,clean,automatic,,coupe,red,al,12.0
birmingham,9000,audi,good,4 cylinders,gas,102380.0,clean,automatic,4wd,coupe,black,al,11.0
birmingham,5940,mini,,4 cylinders,gas,149835.0,,manual,fwd,coupe,red,al,13.0
birmingham,28990,bentley,,12 cylinders,gas,148774.0,clean,automatic,,coupe,,al,16.0
dothan,39590,ford,good,8 cylinders,gas,1419.0,clean,other,rwd,coupe,white,al,2.0
dothan,32990,dodge,good,8 cylinders,gas,2676.0,clean,other,rwd,coupe,white,al,3.0
dothan,39590,chevrolet,good,8 cylinders,gas,10496.0,clean,other,rwd,coupe,white,al,5.0
dothan,38590,ford,good,other,other,17057.0,clean,other,rwd,coupe,,al,3.0
dothan,26590,honda,good,,gas,9954.0,clean,other,fwd,coupe,silver,al,2.0
dothan,6500,ford,good,8 cylinders,gas,126000.0,clean,automatic,,coupe,white,al,23.0
dothan,14590,bmw,good,,other,80465.0,clean,other,,coupe,black,al,10.0
dothan,8990,NA manufacturer,good,4 cylinders,gas,59072.0,clean,automatic,rwd,coupe,silver,al,9.0
dothan,5500,audi,excellent,6 cylinders,gas,211000.0,clean,automatic,,coupe,silver,al,13.0
florence / muscle shoals,16990,kia,good,6 cylinders,gas,17631.0,clean,other,fwd,coupe,,al,6.0
florence / muscle shoals,37990,chevrolet,good,8 cylinders,gas,9704.0,clean,other,rwd,coupe,red,al,6.0
florence / muscle shoals,39590,ford,good,8 cylinders,gas,1419.0,clean,other,rwd,coupe,white,al,2.0
florence / muscle shoals,39990,nissan,good,6 cylinders,gas,8373.0,clean,other,rwd,coupe,white,al,3.0
florence / muscle shoals,2500,ford,excellent,6 cylinders,gas,80000.0,clean,automatic,,coupe,red,al,22.0
florence / muscle shoals,37990,ford,good,8 cylinders,gas,337.0,clean,other,rwd,coupe,black,al,3.0
florence / muscle shoals,8990,NA manufacturer,good,4 cylinders,gas,59072.0,clean,automatic,rwd,coupe,silver,al,9.0
gadsden-anniston,27990,ford,good,,gas,11032.0,clean,other,rwd,coupe,black,al,3.0
gadsden-anniston,16990,kia,good,6 cylinders,gas,17631.0,clean,other,fwd,coupe,,al,6.0
gadsden-anniston,37990,chevrolet,good,8 cylinders,gas,9704.0,clean,other,rwd,coupe,red,al,6.0
gadsden-anniston,33990,ford,good,8 cylinders,gas,9788.0,clean,other,rwd,coupe,black,al,5.0
gadsden-anniston,26590,honda,good,,gas,9954.0,clean,other,fwd,coupe,silver,al,2.0
gadsden-anniston,8990,NA manufacturer,good,4 cylinders,gas,59072.0,clean,automatic,rwd,coupe,silver,al,9.0
