region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
auburn,31590,cadillac,good,,other,12102.0,clean,other,fwd,hatchback,black,al,3.0
auburn,25990,lexus,good,4 cylinders,other,55783.0,clean,other,,hatchback,white,al,7.0
auburn,34990,lexus,good,,gas,1722.0,clean,other,fwd,hatchback,black,al,2.0
auburn,29990,alfa romeo,good,,other,26978.0,clean,other,,hatchback,,al,4.0
auburn,2100,subaru,fair,4 cylinders,gas,97000.0,clean,automatic,,hatchback,,al,16.0
auburn,15990,scion,good,other,gas,29652.0,clean,other,fwd,hatchback,blue,al,6.0
auburn,26990,lexus,good,4 cylinders,gas,29738.0,clean,other,fwd,hatchback,red,al,7.0
auburn,26990,lexus,good,4 cylinders,gas,31363.0,clean,other,fwd,hatchback,white,al,6.0
auburn,33990,alfa romeo,good,6 cylinders,gas,23753.0,clean,other,,hatchback,,al,4.0
auburn,14990,scion,good,other,gas,65203.0,clean,other,fwd,hatchback,red,al,6.0
auburn,19990,mitsubishi,good,,other,11103.0,clean,other,,hatchback,orange,al,2.0
auburn,23990,lexus,good,4 cylinders,other,48462.0,clean,other,,hatchback,silver,al,7.0
auburn,32590,alfa romeo,good,,other,14863.0,clean,other,,hatchback,blue,al,4.0
birmingham,13500,chevrolet,like new,8 cylinders,gas,92000.0,clean,manual,,hatchback,black,al,22.0
birmingham,5950,mitsubishi,good,4 cylinders,gas,72000.0,clean,manual,fwd,hatchback,black,al,15.0
birmingham,17990,subaru,good,,gas,57371.0,clean,other,,hatchback,blue,al,9.0
birmingham,9500,toyota,good,4 cylinders,gas,136128.0,clean,automatic,fwd,hatchback,white,al,8.0
birmingham,29950,pontiac,,,gas,16429.0,clean,automatic,rwd,hatchback,black,al,24.0
birmingham,11295,chevrolet,,4 cylinders,gas,49019.0,clean,automatic,fwd,hatchback,red,al,8.0
birmingham,5500,hyundai,good,4 cylinders,gas,114988.0,clean,automatic,fwd,hatchback,blue,al,12.0
birmingham,8900,fiat,good,4 cylinders,gas,84778.0,clean,automatic,fwd,hatchback,red,al,8.0
birmingham,31590,cadillac,good,,other,12102.0,clean,other,fwd,hatchback,black,al,3.0
birmingham,14500,honda,excellent,,gas,60201.0,rebuilt,automatic,,hatchback,silver,al,7.0
birmingham,22990,infiniti,good,8 cylinders,other,21297.0,clean,other,,hatchback,black,al,5.0
birmingham,39888,honda,like new,,gas,9528.0,clean,manual,,hatchback,,al,3.0
birmingham,15590,scion,good,other,other,64923.0,clean,other,fwd,hatchback,blue,al,6.0
birmingham,29990,lexus,good,4 cylinders,other,15923.0,clean,other,,hatchback,white,al,4.0
birmingham,24990,subaru,good,other,gas,12495.0,clean,other,,hatchback,white,al,3.0
birmingham,7991,dodge,excellent,4 cylinders,gas,93333.0,clean,automatic,fwd,hatchback,white,al,11.0
birmingham,3550,dodge,,4 cylinders,gas,127083.0,rebuilt,automatic,fwd,hatchback,black,al,14.0
birmingham,0,ford,excellent,4 cylinders,gas,45056.0,clean,automatic,fwd,hatchback,white,al,3.0
birmingham,21990,infiniti,good,8 cylinders,other,27629.0,clean,automatic,,hatchback,blue,al,5.0
birmingham,15590,scion,good,other,gas,32573.0,clean,other,fwd,hatchback,green,al,6.0
birmingham,15990,scion,good,other,gas,29652.0,clean,other,fwd,hatchback,blue,al,6.0
birmingham,14990,scion,good,other,gas,65203.0,clean,other,fwd,hatchback,red,al,6.0
birmingham,30990,lexus,good,4 cylinders,hybrid,27205.0,clean,automatic,,hatchback,silver,al,4.0
birmingham,5500,toyota,excellent,4 cylinders,gas,51000.0,clean,manual,fwd,hatchback,blue,al,15.0
birmingham,15990,ford,good,12 cylinders,other,14178.0,clean,other,,hatchback,white,al,4.0
birmingham,23590,subaru,good,other,gas,44201.0,clean,automatic,,hatchback,blue,al,4.0
birmingham,9995,toyota,,other,,104087.0,,other,fwd,hatchback,silver,al,11.0
birmingham,29990,alfa romeo,good,,other,26978.0,clean,other,,hatchback,,al,4.0
birmingham,39888,honda,like new,,gas,9528.0,clean,manual,,hatchback,,al,3.0
birmingham,3999,dodge,,4 cylinders,gas,127083.0,rebuilt,automatic,fwd,hatchback,black,al,14.0
birmingham,28300,bmw,excellent,4 cylinders,gas,16000.0,clean,automatic,rwd,hatchback,white,al,3.0
birmingham,17990,mitsubishi,good,,other,16631.0,clean,other,,hatchback,,al,2.0
birmingham,34590,infiniti,good,,other,3542.0,clean,other,fwd,hatchback,brown,al,2.0
birmingham,11987,lexus,excellent,4 cylinders,gas,117000.0,clean,automatic,fwd,hatchback,white,al,10.0
birmingham,15990,scion,good,other,gas,40668.0,clean,other,fwd,hatchback,red,al,6.0
dothan,17990,subaru,good,,gas,57371.0,clean,other,,hatchback,blue,al,9.0
dothan,9900,mini,excellent,4 cylinders,gas,108301.0,clean,automatic,fwd,hatchback,green,al,10.0
dothan,10900,mini,excellent,4 cylinders,gas,92000.0,clean,automatic,fwd,hatchback,blue,al,10.0
dothan,31590,cadillac,good,,other,12102.0,clean,other,fwd,hatchback,black,al,3.0
dothan,29990,alfa romeo,good,,other,26978.0,clean,other,,hatchback,,al,4.0
dothan,15990,scion,good,other,gas,29652.0,clean,other,fwd,hatchback,blue,al,6.0
dothan,29990,lexus,good,4 cylinders,other,15923.0,clean,other,,hatchback,white,al,4.0
dothan,33990,alfa romeo,good,6 cylinders,gas,23753.0,clean,other,,hatchback,,al,4.0
dothan,14990,scion,good,other,gas,65203.0,clean,other,fwd,hatchback,red,al,6.0
dothan,30990,lexus,good,4 cylinders,hybrid,27205.0,clean,automatic,,hatchback,silver,al,4.0
dothan,15990,ford,good,12 cylinders,other,14178.0,clean,other,,hatchback,white,al,4.0
dothan,19990,mitsubishi,good,,other,11103.0,clean,other,,hatchback,orange,al,2.0
dothan,8000,kia,excellent,4 cylinders,gas,89800.0,rebuilt,automatic,fwd,hatchback,red,al,9.0
dothan,32590,alfa romeo,good,,other,14863.0,clean,other,,hatchback,blue,al,4.0
florence / muscle shoals,15590,scion,good,other,gas,32573.0,clean,other,fwd,hatchback,green,al,6.0
florence / muscle shoals,29990,lexus,good,4 cylinders,other,15923.0,clean,other,,hatchback,white,al,4.0
florence / muscle shoals,14990,scion,good,other,gas,65203.0,clean,other,fwd,hatchback,red,al,6.0
florence / muscle shoals,12990,scion,good,4 cylinders,other,81350.0,clean,other,fwd,hatchback,white,al,8.0
florence / muscle shoals,30990,lexus,good,4 cylinders,hybrid,27205.0,clean,automatic,,hatchback,silver,al,4.0
florence / muscle shoals,9995,toyota,,other,,104087.0,,other,fwd,hatchback,silver,al,11.0
florence / muscle shoals,29590,alfa romeo,good,,other,60984.0,clean,other,,hatchback,black,al,3.0
