region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
auburn,14000,honda,excellent,6 cylinders,gas,95000.0,clean,automatic,fwd,mini-van,silver,al,10.0
auburn,3000,chrysler,good,6 cylinders,gas,176144.0,clean,automatic,fwd,mini-van,silver,al,18.0
auburn,9500,chrysler,excellent,6 cylinders,gas,30376.0,clean,automatic,fwd,mini-van,blue,al,19.0
birmingham,6599,toyota,good,6 cylinders,gas,174000.0,clean,automatic,fwd,mini-van,brown,al,12.0
birmingham,3500,mini,good,6 cylinders,gas,230000.0,clean,automatic,rwd,mini-van,red,al,19.0
birmingham,16900,chrysler,good,6 cylinders,gas,88987.0,clean,automatic,fwd,mini-van,silver,al,5.0
birmingham,4200,honda,good,6 cylinders,gas,195000.0,clean,automatic,fwd,mini-van,green,al,15.0
birmingham,4200,honda,good,6 cylinders,gas,195000.0,clean,automatic,fwd,mini-van,green,al,15.0
dothan,10400,toyota,excellent,6 cylinders,gas,159400.0,clean,automatic,,mini-van,red,al,11.0
gadsden-anniston,8500,nissan,like new,6 cylinders,gas,121000.0,clean,automatic,fwd,mini-van,white,al,11.0
gadsden-anniston,5500,dodge,excellent,6 cylinders,gas,174651.0,clean,automatic,fwd,mini-van,silver,al,14.0
huntsville / decatur,9300,chrysler,good,6 cylinders,gas,93809.0,clean,automatic,fwd,mini-van,silver,al,12.0
huntsville / decatur,18600,toyota,excellent,6 cylinders,gas,114542.0,clean,automatic,fwd,mini-van,black,al,7.0
huntsville / decatur,9930,toyota,,6 cylinders,gas,262907.0,clean,automatic,fwd,mini-van,silver,al,11.0
huntsville / decatur,5500,honda,good,6 cylinders,gas,215000.0,rebuilt,automatic,fwd,mini-van,grey,al,15.0
huntsville / decatur,22499,chrysler,,other,gas,40481.0,clean,automatic,fwd,mini-van,white,al,2.0
mobile,9499,honda,excellent,6 cylinders,gas,132000.0,clean,automatic,,mini-van,white,al,10.0
mobile,9995,honda,excellent,6 cylinders,gas,160964.0,clean,automatic,fwd,mini-van,blue,al,12.0
mobile,750,chevrolet,fair,6 cylinders,gas,130000.0,clean,automatic,rwd,mini-van,,al,20.0
mobile,9950,ford,excellent,6 cylinders,gas,145635.0,clean,automatic,fwd,mini-van,white,al,8.0
mobile,8500,dodge,good,6 cylinders,gas,118160.0,clean,automatic,,mini-van,white,al,17.0
mobile,2500,dodge,good,,gas,131000.0,clean,automatic,,mini-van,white,al,22.0
mobile,7950,honda,excellent,6 cylinders,gas,138896.0,clean,automatic,fwd,mini-van,blue,al,12.0
mobile,14800,honda,excellent,6 cylinders,gas,115000.0,lien,automatic,fwd,mini-van,white,al,8.0
mobile,5150,toyota,excellent,6 cylinders,gas,108000.0,clean,automatic,rwd,mini-van,,al,14.0
mobile,4799,dodge,excellent,6 cylinders,gas,206500.0,clean,automatic,fwd,mini-van,white,al,8.0
