region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
auburn,17500,toyota,good,6 cylinders,gas,201300.0,clean,manual,4wd,offroad,black,al,14.0
birmingham,17999,jeep,excellent,6 cylinders,gas,125000.0,clean,automatic,4wd,offroad,black,al,10.0
huntsville / decatur,13500,jeep,good,6 cylinders,gas,199000.0,clean,manual,4wd,offroad,green,al,18.0
anchorage / mat-su,27995,jeep,like new,4 cylinders,gas,27679.0,clean,automatic,4wd,offroad,white,ak,5.0
anchorage / mat-su,39995,jeep,like new,6 cylinders,gas,29470.0,clean,manual,4wd,offroad,red,ak,6.0
anchorage / mat-su,39995,ram,excellent,8 cylinders,gas,120673.0,clean,automatic,4wd,offroad,white,ak,8.0
anchorage / mat-su,36995,ram,like new,6 cylinders,diesel,130114.0,clean,automatic,4wd,offroad,white,ak,11.0
anchorage / mat-su,27995,jeep,like new,4 cylinders,gas,27679.0,clean,automatic,4wd,offroad,white,ak,5.0
anchorage / mat-su,39995,jeep,like new,6 cylinders,gas,29470.0,clean,manual,4wd,offroad,red,ak,6.0
anchorage / mat-su,27995,jeep,like new,4 cylinders,gas,27679.0,clean,automatic,4wd,offroad,white,ak,5.0
anchorage / mat-su,39995,ram,excellent,8 cylinders,gas,120673.0,clean,automatic,4wd,offroad,white,ak,8.0
anchorage / mat-su,39995,ram,excellent,8 cylinders,gas,120673.0,clean,automatic,4wd,offroad,white,ak,8.0
anchorage / mat-su,27995,jeep,like new,4 cylinders,gas,27679.0,clean,automatic,4wd,offroad,white,ak,5.0
anchorage / mat-su,27995,jeep,like new,4 cylinders,gas,27679.0,clean,automatic,4wd,offroad,white,ak,5.0
flagstaff / sedona,3500,chevrolet,good,8 cylinders,gas,70000.0,clean,manual,4wd,offroad,brown,az,23.0
flagstaff / sedona,12000,jeep,excellent,6 cylinders,gas,141000.0,clean,manual,4wd,offroad,red,az,20.0
flagstaff / sedona,12000,jeep,good,5 cylinders,gas,141000.0,clean,manual,4wd,offroad,red,az,20.0
flagstaff / sedona,14500,jeep,excellent,6 cylinders,gas,80240.0,clean,automatic,4wd,offroad,green,az,18.0
flagstaff / sedona,5499,ford,good,10 cylinders,gas,27000.0,clean,automatic,4wd,offroad,red,az,19.0
mohave county,16000,jeep,like new,6 cylinders,gas,77000.0,clean,automatic,4wd,offroad,green,az,22.0
mohave county,10000,jeep,salvage,6 cylinders,gas,222000.0,salvage,automatic,4wd,offroad,blue,az,24.0
phoenix,10900,toyota,good,8 cylinders,gas,85000.0,clean,automatic,4wd,offroad,blue,az,14.0
phoenix,7900,toyota,good,8 cylinders,gas,257000.0,clean,automatic,,offroad,silver,az,20.0
phoenix,25500,jeep,like new,,gas,96500.0,clean,automatic,,offroad,black,az,8.0
phoenix,24000,ford,good,8 cylinders,diesel,250000.0,clean,automatic,4wd,offroad,white,az,14.0
phoenix,18500,jeep,excellent,6 cylinders,gas,86000.0,lien,automatic,4wd,offroad,silver,az,10.0
phoenix,18500,jeep,excellent,6 cylinders,gas,86000.0,lien,automatic,4wd,offroad,silver,az,10.0
prescott,24000,jeep,like new,6 cylinders,gas,62200.0,clean,automatic,4wd,offroad,silver,az,12.0
prescott,12500,land rover,excellent,8 cylinders,gas,105000.0,clean,manual,4wd,offroad,grey,az,15.0
prescott,12995,jeep,like new,6 cylinders,gas,92050.0,clean,automatic,4wd,offroad,blue,az,19.0
