region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
auburn,15000,ford,excellent,6 cylinders,gas,128000.0,clean,automatic,rwd,truck,black,al,9.0
auburn,35000,toyota,excellent,6 cylinders,gas,43000.0,clean,automatic,4wd,truck,grey,al,3.0
auburn,22500,ford,good,8 cylinders,diesel,144700.0,clean,manual,rwd,truck,white,al,21.0
birmingham,21950,toyota,excellent,4 cylinders,gas,143060.0,clean,manual,4wd,truck,silver,al,10.0
birmingham,13950,toyota,good,4 cylinders,gas,151060.0,clean,automatic,rwd,truck,silver,al,11.0
birmingham,12500,ford,excellent,6 cylinders,gas,141345.0,clean,automatic,rwd,truck,grey,al,14.0
birmingham,16950,toyota,good,6 cylinders,gas,156792.0,clean,automatic,rwd,truck,white,al,15.0
birmingham,22950,ford,excellent,8 cylinders,gas,166380.0,clean,automatic,4wd,truck,black,al,8.0
birmingham,5900,ford,excellent,8 cylinders,gas,214000.0,clean,automatic,,truck,red,al,24.0
birmingham,32000,chevrolet,good,8 cylinders,diesel,109600.0,clean,automatic,4wd,truck,white,al,14.0
birmingham,0,chevrolet,excellent,8 cylinders,gas,25127.0,clean,automatic,4wd,truck,red,al,3.0
birmingham,0,chevrolet,like new,8 cylinders,diesel,102000.0,clean,automatic,4wd,truck,silver,al,5.0
birmingham,45000,chevrolet,excellent,8 cylinders,gas,92000.0,clean,automatic,4wd,truck,red,al,5.0
birmingham,19500,ram,good,6 cylinders,diesel,161000.0,clean,manual,4wd,truck,silver,al,14.0
birmingham,15000,toyota,good,6 cylinders,gas,213800.0,clean,automatic,4wd,truck,silver,al,13.0
birmingham,8950,ford,excellent,6 cylinders,gas,164000.0,clean,automatic,fwd,truck,white,al,11.0
birmingham,50000,toyota,like new,8 cylinders,gas,20010.0,clean,automatic,4wd,truck,white,al,3.0
birmingham,16500,ford,excellent,8 cylinders,gas,201766.0,clean,automatic,4wd,truck,white,al,11.0
birmingham,0,chevrolet,like new,8 cylinders,diesel,102000.0,clean,automatic,4wd,truck,silver,al,5.0
birmingham,0,ram,like new,6 cylinders,diesel,120000.0,clean,automatic,4wd,truck,black,al,6.0
birmingham,0,nissan,excellent,8 cylinders,gas,2576.0,clean,automatic,4wd,truck,black,al,1.0
birmingham,48900,chevrolet,like new,8 cylinders,diesel,43034.0,rebuilt,automatic,4wd,truck,black,al,4.0
birmingham,29950,gmc,excellent,8 cylinders,gas,139029.0,clean,automatic,4wd,truck,black,al,8.0
birmingham,0,gmc,,8 cylinders,gas,60015.0,clean,other,4wd,truck,white,al,5.0
birmingham,45950,gmc,excellent,8 cylinders,diesel,154289.0,clean,automatic,4wd,truck,black,al,8.0
birmingham,45300,ram,excellent,6 cylinders,diesel,34125.0,rebuilt,automatic,4wd,truck,black,al,4.0
birmingham,17500,ram,good,6 cylinders,diesel,178000.0,clean,manual,4wd,truck,white,al,21.0
birmingham,8900,ford,good,8 cylinders,diesel,247000.0,clean,automatic,rwd,truck,red,al,19.0
birmingham,27990,ram,like new,6 cylinders,diesel,,clean,automatic,4wd,truck,white,al,8.0
birmingham,27900,chevrolet,good,8 cylinders,diesel,170525.0,clean,automatic,4wd,truck,white,al,8.0
birmingham,7500,chevrolet,excellent,6 cylinders,gas,212000.0,clean,automatic,rwd,truck,white,al,10.0
birmingham,1500,chevrolet,fair,4 cylinders,gas,150000.0,missing,automatic,rwd,truck,black,al,18.0
birmingham,23900,NA manufacturer,,,diesel,195000.0,clean,automatic,4wd,truck,red,al,16.0
birmingham,26990,ram,like new,6 cylinders,diesel,172000.0,clean,automatic,4wd,truck,red,al,14.0
birmingham,0,ram,like new,6 cylinders,diesel,,clean,automatic,4wd,truck,white,al,8.0
birmingham,0,chevrolet,like new,8 cylinders,diesel,,clean,automatic,4wd,truck,black,al,4.0
birmingham,0,ford,like new,8 cylinders,gas,88000.0,clean,automatic,4wd,truck,custom,al,5.0
birmingham,0,chevrolet,like new,8 cylinders,diesel,128000.0,clean,automatic,4wd,truck,silver,al,15.0
birmingham,0,ram,like new,6 cylinders,diesel,,clean,automatic,rwd,truck,white,al,10.0
birmingham,0,ford,like new,8 cylinders,gas,80000.0,clean,automatic,4wd,truck,blue,al,8.0
birmingham,0,ram,like new,8 cylinders,gas,,clean,automatic,4wd,truck,red,al,8.0
birmingham,0,chevrolet,like new,8 cylinders,gas,128000.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,0,chevrolet,like new,8 cylinders,gas,150000.0,clean,automatic,4wd,truck,black,al,10.0
birmingham,0,chevrolet,like new,8 cylinders,diesel,140000.0,clean,automatic,4wd,truck,black,al,4.0
birmingham,8950,ford,excellent,6 cylinders,gas,164000.0,clean,automatic,fwd,truck,white,al,11.0
birmingham,37900,chevrolet,like new,8 cylinders,gas,5622.0,clean,automatic,rwd,truck,white,al,2.0
birmingham,29900,ford,like new,8 cylinders,gas,23004.0,clean,automatic,rwd,truck,white,al,3.0
birmingham,0,ram,like new,6 cylinders,diesel,128377.0,clean,automatic,4wd,truck,black,al,6.0
birmingham,0,chevrolet,like new,8 cylinders,diesel,120000.0,clean,automatic,4wd,truck,silver,al,15.0
birmingham,0,ram,like new,6 cylinders,diesel,160000.0,clean,automatic,4wd,truck,custom,al,6.0
birmingham,16700,ford,,8 cylinders,gas,180917.0,clean,other,4wd,truck,,al,9.0
birmingham,24990,ford,good,10 cylinders,gas,46463.0,clean,automatic,rwd,truck,white,al,15.0
birmingham,33990,chevrolet,good,8 cylinders,gas,12398.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,20990,chevrolet,good,8 cylinders,diesel,134296.0,clean,automatic,rwd,truck,white,al,16.0
birmingham,25990,isuzu,good,8 cylinders,gas,172373.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,27990,ford,good,8 cylinders,gas,83459.0,clean,automatic,rwd,truck,white,al,14.0
birmingham,33990,ford,good,8 cylinders,diesel,136250.0,clean,automatic,4wd,truck,white,al,8.0
birmingham,22990,ford,good,10 cylinders,gas,121911.0,clean,automatic,rwd,truck,white,al,12.0
birmingham,24990,gmc,good,8 cylinders,gas,136965.0,clean,automatic,rwd,truck,white,al,5.0
birmingham,24990,chevrolet,good,8 cylinders,gas,72789.0,clean,automatic,rwd,truck,white,al,13.0
birmingham,33990,NA manufacturer,good,6 cylinders,diesel,161693.0,clean,automatic,rwd,truck,red,al,15.0
birmingham,25990,chevrolet,good,8 cylinders,gas,73360.0,clean,automatic,rwd,truck,white,al,16.0
birmingham,29990,ford,good,8 cylinders,diesel,137481.0,clean,automatic,4wd,truck,white,al,11.0
birmingham,29990,NA manufacturer,good,8 cylinders,diesel,39013.0,clean,automatic,rwd,truck,white,al,10.0
birmingham,33990,chevrolet,good,8 cylinders,gas,77581.0,clean,automatic,rwd,truck,white,al,15.0
birmingham,21990,ford,good,8 cylinders,gas,45554.0,clean,automatic,rwd,truck,white,al,17.0
birmingham,49990,ford,good,8 cylinders,diesel,152701.0,clean,automatic,4wd,truck,white,al,7.0
birmingham,26990,mitsubishi,good,4 cylinders,diesel,166302.0,clean,manual,rwd,truck,white,al,24.0
birmingham,63990,NA manufacturer,good,6 cylinders,diesel,28400.0,clean,automatic,rwd,truck,white,al,5.0
birmingham,26990,chevrolet,good,8 cylinders,gas,75734.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,27490,mitsubishi,good,4 cylinders,diesel,96626.0,clean,automatic,rwd,truck,green,al,16.0
birmingham,28490,mitsubishi,good,4 cylinders,diesel,70643.0,clean,automatic,rwd,truck,green,al,14.0
birmingham,33990,ford,good,8 cylinders,diesel,49678.0,clean,automatic,4wd,truck,white,al,10.0
birmingham,46990,ram,good,6 cylinders,diesel,17619.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,44990,ford,good,8 cylinders,diesel,52307.0,clean,automatic,4wd,truck,white,al,10.0
birmingham,44990,ram,good,6 cylinders,diesel,80733.0,clean,automatic,4wd,truck,white,al,7.0
birmingham,26990,isuzu,good,4 cylinders,diesel,102863.0,clean,automatic,rwd,truck,white,al,7.0
birmingham,20990,ram,good,8 cylinders,gas,121850.0,clean,automatic,4wd,truck,black,al,12.0
birmingham,26990,chevrolet,good,8 cylinders,gas,100921.0,clean,automatic,4wd,truck,white,al,14.0
birmingham,52990,ford,good,8 cylinders,diesel,15886.0,clean,automatic,4wd,truck,white,al,8.0
birmingham,35990,ford,good,10 cylinders,gas,42213.0,clean,automatic,4wd,truck,white,al,8.0
birmingham,27990,ford,good,6 cylinders,diesel,123622.0,clean,automatic,rwd,truck,white,al,11.0
birmingham,33990,NA manufacturer,good,6 cylinders,diesel,161693.0,clean,automatic,rwd,truck,red,al,15.0
birmingham,27490,mitsubishi,good,4 cylinders,diesel,96626.0,clean,automatic,rwd,truck,green,al,16.0
birmingham,26990,isuzu,good,4 cylinders,diesel,102863.0,clean,automatic,rwd,truck,white,al,7.0
birmingham,33990,ford,good,8 cylinders,diesel,136250.0,clean,automatic,4wd,truck,white,al,8.0
birmingham,24990,chevrolet,good,8 cylinders,gas,72789.0,clean,automatic,rwd,truck,white,al,13.0
birmingham,25990,chevrolet,good,8 cylinders,gas,73360.0,clean,automatic,rwd,truck,white,al,16.0
birmingham,24990,gmc,good,8 cylinders,gas,136965.0,clean,automatic,rwd,truck,white,al,5.0
birmingham,29990,ford,good,8 cylinders,diesel,137481.0,clean,automatic,4wd,truck,white,al,11.0
birmingham,24990,ford,good,10 cylinders,gas,46463.0,clean,automatic,rwd,truck,white,al,15.0
birmingham,22990,ford,good,10 cylinders,gas,121911.0,clean,automatic,rwd,truck,white,al,12.0
birmingham,20990,chevrolet,good,8 cylinders,diesel,134296.0,clean,automatic,rwd,truck,white,al,16.0
birmingham,33990,chevrolet,good,8 cylinders,gas,12398.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,29990,NA manufacturer,good,8 cylinders,diesel,39013.0,clean,automatic,rwd,truck,white,al,10.0
birmingham,25990,isuzu,good,8 cylinders,gas,172373.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,26990,chevrolet,good,8 cylinders,gas,75734.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,27990,ford,good,8 cylinders,gas,83459.0,clean,automatic,rwd,truck,white,al,14.0
birmingham,29990,NA manufacturer,good,8 cylinders,gas,60386.0,clean,automatic,rwd,truck,white,al,14.0
birmingham,14990,ford,good,8 cylinders,gas,67820.0,clean,automatic,rwd,truck,white,al,10.0
birmingham,59990,ford,good,8 cylinders,diesel,31337.0,clean,automatic,4wd,truck,white,al,5.0
birmingham,31990,ford,good,8 cylinders,diesel,59429.0,clean,automatic,4wd,truck,red,al,16.0
birmingham,6950,ford,excellent,8 cylinders,gas,206000.0,clean,automatic,rwd,truck,green,al,24.0
birmingham,0,chevrolet,excellent,8 cylinders,gas,15807.0,clean,automatic,4wd,truck,red,al,3.0
birmingham,27897,chevrolet,,8 cylinders,gas,55033.0,clean,other,rwd,truck,red,al,9.0
birmingham,15900,nissan,good,4 cylinders,gas,28650.0,rebuilt,automatic,rwd,truck,white,al,5.0
birmingham,32500,ford,like new,6 cylinders,gas,7700.0,clean,automatic,rwd,truck,grey,al,3.0
birmingham,55000,NA manufacturer,excellent,6 cylinders,diesel,87000.0,clean,automatic,4wd,truck,white,al,22.0
birmingham,11700,ford,good,8 cylinders,diesel,274000.0,clean,manual,rwd,truck,white,al,22.0
birmingham,8950,ford,excellent,6 cylinders,gas,164000.0,clean,automatic,fwd,truck,white,al,11.0
birmingham,45950,gmc,excellent,8 cylinders,diesel,154289.0,clean,automatic,4wd,truck,black,al,8.0
birmingham,22950,ford,excellent,8 cylinders,gas,166380.0,clean,automatic,4wd,truck,black,al,8.0
birmingham,16950,toyota,good,6 cylinders,gas,156792.0,clean,automatic,rwd,truck,white,al,15.0
birmingham,8950,ford,excellent,6 cylinders,gas,164000.0,clean,automatic,fwd,truck,white,al,11.0
birmingham,22900,nissan,good,4 cylinders,gas,14570.0,clean,automatic,rwd,truck,custom,al,4.0
birmingham,30900,chevrolet,good,8 cylinders,gas,114800.0,clean,automatic,4wd,truck,custom,al,7.0
birmingham,24900,chevrolet,good,8 cylinders,gas,119569.0,clean,automatic,rwd,truck,white,al,7.0
birmingham,6800,ford,excellent,8 cylinders,gas,190000.0,clean,automatic,,truck,white,al,19.0
birmingham,49990,ford,good,10 cylinders,gas,41631.0,clean,automatic,4wd,truck,green,al,7.0
birmingham,38990,chevrolet,good,8 cylinders,gas,134000.0,clean,automatic,rwd,truck,white,al,9.0
birmingham,34990,ram,good,8 cylinders,gas,135740.0,clean,automatic,4wd,truck,white,al,5.0
birmingham,29990,ford,good,8 cylinders,diesel,54703.0,clean,manual,4wd,truck,red,al,19.0
birmingham,38990,mitsubishi,good,4 cylinders,diesel,33474.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,28990,ford,good,8 cylinders,gas,118078.0,clean,automatic,rwd,truck,white,al,14.0
birmingham,49990,ford,good,8 cylinders,diesel,98689.0,clean,automatic,4wd,truck,white,al,9.0
birmingham,26990,ford,good,10 cylinders,gas,105070.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,29990,isuzu,good,8 cylinders,gas,91400.0,clean,automatic,rwd,truck,white,al,7.0
birmingham,24990,ford,good,8 cylinders,gas,139567.0,clean,automatic,rwd,truck,white,al,14.0
birmingham,24990,mitsubishi,good,4 cylinders,diesel,117851.0,clean,automatic,rwd,truck,white,al,8.0
birmingham,27990,NA manufacturer,good,8 cylinders,diesel,117550.0,clean,automatic,rwd,truck,white,al,9.0
birmingham,24990,NA manufacturer,good,4 cylinders,hybrid,118693.0,clean,automatic,rwd,truck,white,al,8.0
birmingham,29990,isuzu,good,4 cylinders,diesel,132469.0,clean,automatic,rwd,truck,white,al,8.0
birmingham,24990,isuzu,good,6 cylinders,diesel,65902.0,clean,automatic,rwd,truck,white,al,9.0
birmingham,47990,ford,good,8 cylinders,diesel,39253.0,clean,automatic,4wd,truck,white,al,8.0
birmingham,29990,NA manufacturer,good,4 cylinders,diesel,100509.0,clean,automatic,rwd,truck,white,al,16.0
birmingham,22990,ford,good,8 cylinders,gas,181410.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,29990,ford,good,8 cylinders,diesel,124669.0,clean,automatic,rwd,truck,white,al,15.0
birmingham,23990,chevrolet,good,8 cylinders,gas,32853.0,clean,automatic,rwd,truck,white,al,15.0
birmingham,39990,NA manufacturer,good,6 cylinders,diesel,35429.0,clean,automatic,rwd,truck,white,al,13.0
birmingham,26990,ford,good,8 cylinders,diesel,201035.0,clean,automatic,rwd,truck,white,al,6.0
birmingham,34990,ford,good,8 cylinders,diesel,70200.0,clean,automatic,4wd,truck,custom,al,21.0
birmingham,51990,ram,good,8 cylinders,diesel,129633.0,clean,other,rwd,truck,white,al,9.0
