region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
auburn,0,chevrolet,like new,6 cylinders,gas,68472.0,clean,automatic,rwd,van,white,al,4.0
auburn,0,chevrolet,like new,6 cylinders,gas,69125.0,clean,automatic,rwd,van,white,al,3.0
auburn,0,chevrolet,like new,6 cylinders,gas,66555.0,clean,automatic,rwd,van,white,al,4.0
birmingham,11500,honda,good,,gas,92000.0,clean,automatic,,van,silver,al,9.0
birmingham,5500,ford,fair,,diesel,340000.0,clean,automatic,fwd,van,white,al,21.0
birmingham,4380,hyundai,,6 cylinders,gas,185852.0,,automatic,fwd,van,blue,al,15.0
birmingham,5980,honda,,6 cylinders,gas,167440.0,,automatic,fwd,van,silver,al,16.0
birmingham,31900,ford,like new,6 cylinders,gas,29497.0,clean,automatic,rwd,van,white,al,3.0
birmingham,11500,chevrolet,excellent,8 cylinders,gas,228699.0,clean,automatic,rwd,van,white,al,9.0
birmingham,32900,ford,like new,6 cylinders,gas,6735.0,clean,automatic,rwd,van,white,al,3.0
birmingham,31500,gmc,like new,8 cylinders,gas,24585.0,clean,automatic,rwd,van,white,al,3.0
birmingham,9500,ford,excellent,4 cylinders,gas,219581.0,clean,automatic,fwd,van,white,al,8.0
birmingham,17200,ford,excellent,4 cylinders,gas,45026.0,clean,automatic,fwd,van,white,al,8.0
birmingham,23900,ford,excellent,6 cylinders,gas,108482.0,clean,automatic,rwd,van,white,al,5.0
birmingham,22300,ford,excellent,6 cylinders,gas,113617.0,clean,automatic,rwd,van,white,al,5.0
birmingham,8950,ford,,,other,180502.0,clean,automatic,rwd,van,white,al,11.0
birmingham,15897,ford,,4 cylinders,gas,71097.0,clean,other,fwd,van,yellow,al,6.0
birmingham,18990,ford,good,8 cylinders,gas,32988.0,clean,automatic,rwd,van,white,al,12.0
birmingham,41000,mini,excellent,4 cylinders,gas,29288.0,clean,automatic,fwd,van,,al,3.0
birmingham,14141,ram,like new,4 cylinders,gas,102386.0,clean,automatic,fwd,van,white,al,5.0
birmingham,4980,dodge,,6 cylinders,gas,134819.0,,manual,rwd,van,red,al,12.0
birmingham,1950,dodge,,6 cylinders,,227794.0,clean,automatic,fwd,van,,al,23.0
birmingham,34500,ford,like new,6 cylinders,gas,7646.0,clean,automatic,rwd,van,white,al,3.0
birmingham,16900,ford,excellent,4 cylinders,gas,35173.0,clean,automatic,fwd,van,white,al,8.0
birmingham,32700,ford,like new,6 cylinders,gas,13646.0,clean,automatic,rwd,van,white,al,3.0
birmingham,32900,ford,like new,6 cylinders,gas,6735.0,clean,automatic,rwd,van,white,al,3.0
birmingham,34800,ford,like new,6 cylinders,gas,31020.0,clean,automatic,rwd,van,white,al,3.0
birmingham,9500,ford,excellent,4 cylinders,gas,219581.0,clean,automatic,fwd,van,white,al,8.0
birmingham,2350,gmc,fair,6 cylinders,gas,250000.0,clean,automatic,rwd,van,brown,al,21.0
birmingham,3500,honda,,6 cylinders,gas,197742.0,clean,automatic,fwd,van,silver,al,17.0
birmingham,20300,ford,excellent,6 cylinders,gas,141625.0,clean,automatic,rwd,van,white,al,5.0
birmingham,29600,gmc,like new,8 cylinders,gas,30052.0,clean,automatic,rwd,van,white,al,3.0
birmingham,9500,ford,excellent,4 cylinders,gas,219581.0,clean,automatic,fwd,van,white,al,8.0
birmingham,36700,ford,excellent,6 cylinders,gas,14985.0,clean,automatic,rwd,van,white,al,3.0
birmingham,32800,ford,excellent,6 cylinders,gas,43479.0,clean,automatic,rwd,van,white,al,4.0
birmingham,31900,ford,excellent,6 cylinders,gas,29497.0,clean,automatic,rwd,van,white,al,3.0
birmingham,38300,ford,like new,6 cylinders,gas,7540.0,clean,automatic,rwd,van,white,al,2.0
birmingham,34800,ford,excellent,6 cylinders,gas,31020.0,clean,automatic,rwd,van,white,al,3.0
birmingham,9950,ford,excellent,8 cylinders,gas,177000.0,clean,automatic,rwd,van,white,al,12.0
birmingham,4380,hyundai,,6 cylinders,gas,185852.0,,automatic,fwd,van,blue,al,15.0
birmingham,30990,mercedes-benz,good,other,gas,7896.0,clean,other,rwd,van,black,al,4.0
dothan,0,chevrolet,like new,6 cylinders,gas,68472.0,clean,automatic,rwd,van,white,al,4.0
dothan,0,chevrolet,like new,6 cylinders,gas,69125.0,clean,automatic,rwd,van,white,al,3.0
dothan,0,chevrolet,like new,6 cylinders,gas,66555.0,clean,automatic,rwd,van,white,al,4.0
florence / muscle shoals,16350,ford,good,8 cylinders,gas,83000.0,clean,automatic,rwd,van,white,al,9.0
florence / muscle shoals,13500,honda,excellent,6 cylinders,gas,138258.0,clean,automatic,fwd,van,black,al,10.0
florence / muscle shoals,7500,chrysler,good,6 cylinders,gas,133000.0,clean,automatic,fwd,van,black,al,10.0
gadsden-anniston,19500,ram,excellent,6 cylinders,gas,61661.0,clean,automatic,fwd,van,black,al,8.0
