region,price,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,age
birmingham,15990,ford,good,,hybrid,48195.0,clean,other,fwd,wagon,blue,al,5.0
birmingham,5940,kia,,4 cylinders,gas,163385.0,,manual,rwd,wagon,white,al,11.0
birmingham,4100,hyundai,,4 cylinders,gas,130206.0,rebuilt,manual,fwd,wagon,grey,al,12.0
birmingham,4300,kia,,4 cylinders,gas,174053.0,clean,automatic,fwd,wagon,silver,al,10.0
birmingham,8900,toyota,excellent,4 cylinders,hybrid,142900.0,clean,automatic,fwd,wagon,blue,al,9.0
birmingham,10500,infiniti,good,6 cylinders,gas,122904.0,clean,automatic,rwd,wagon,black,al,14.0
birmingham,13999,kia,,4 cylinders,gas,46848.0,clean,automatic,fwd,wagon,white,al,4.0
birmingham,10900,honda,good,6 cylinders,gas,97804.0,clean,automatic,fwd,wagon,grey,al,12.0
birmingham,4100,hyundai,,4 cylinders,gas,130206.0,rebuilt,manual,fwd,wagon,grey,al,12.0
birmingham,4300,kia,,4 cylinders,gas,174053.0,clean,automatic,fwd,wagon,silver,al,10.0
birmingham,17590,kia,good,6 cylinders,gas,25491.0,clean,other,fwd,wagon,green,al,7.0
birmingham,4100,hyundai,,4 cylinders,gas,130206.0,rebuilt,manual,fwd,wagon,grey,al,12.0
birmingham,6980,nissan,,4 cylinders,gas,170273.0,,automatic,,wagon,red,al,9.0
birmingham,4300,kia,,4 cylinders,gas,174053.0,clean,automatic,fwd,wagon,silver,al,10.0
birmingham,5940,kia,,4 cylinders,gas,163385.0,,manual,rwd,wagon,white,al,11.0
birmingham,4100,hyundai,,4 cylinders,gas,130206.0,rebuilt,manual,fwd,wagon,grey,al,12.0
birmingham,8990,chevrolet,good,4 cylinders,gas,127100.0,clean,automatic,fwd,wagon,black,al,9.0
birmingham,9800,kia,good,4 cylinders,gas,76117.0,clean,automatic,fwd,wagon,white,al,10.0
birmingham,14990,kia,good,12 cylinders,gas,7007.0,clean,other,fwd,wagon,black,al,3.0
birmingham,14395,kia,,4 cylinders,gas,32819.0,clean,automatic,fwd,wagon,silver,al,6.0
birmingham,4300,kia,,4 cylinders,gas,174053.0,clean,automatic,fwd,wagon,silver,al,10.0
birmingham,4100,hyundai,,4 cylinders,gas,130206.0,rebuilt,manual,fwd,wagon,grey,al,12.0
